Train Loss, time
5.255282894754422,5.185685281
9.823006003198877,4.88937599
6.061308834828897,4.888997454
4.680376536841303,4.837766201
4.687660481779707,4.831611254
4.639714364370623,4.952111926
4.600809793966864,5.174774937
4.632952298461877,5.179606429
4.6156264544119034,5.180510978
4.580582461949453,5.334574442
4.630355909872868,5.203313144
4.643582503633394,5.3409764299999996
4.6057022346998195,5.222963936
4.623010010135594,4.954714753
4.610236841741108,5.236378071
4.639619383488706,5.305356719
4.620390449562588,5.469756257
4.599544458077687,5.426309903
4.584054447934648,5.385753057
4.615180237690589,5.356692703
4.618053056728776,5.2682320449999995
4.600504046166932,5.442667453
4.586812079777935,5.551127034
4.597841115769016,5.279347019
4.613158520345407,5.20746967
4.62270935622014,5.326200898
4.607037884924546,5.363216204
4.609005953995622,5.195106224
4.596464146433938,5.309476584
4.607185990303513,5.294256187
4.596821492981668,5.338212642
4.577909271767318,5.342939882
4.59409383351981,5.253232572
4.598598863862604,5.207687087
4.591464870605631,5.322893345
4.596251344139623,5.309424378
4.591402407992071,5.237915011
4.588720323967986,5.263298809
4.574859606757148,5.346628237
4.547637287879312,5.233975083
4.5966568450689245,5.080315764
4.571823450177078,5.264027899
4.560242972463269,5.4812346739999995
4.574749254179285,5.32432454
4.565813530861115,5.225737996
4.558912075300618,5.35127242
4.556959638729026,5.098088014
4.561206436090399,5.188130561
4.550236333414364,5.247741601
4.5405787567096185,5.258212127
4.540975383718798,5.209693743
4.54157337665317,5.353488011
4.529753046865506,5.289668183
4.525155018079542,5.188836413
4.528156855267386,5.251943855
4.508421951319124,5.207550895
4.5161199094112545,5.354337966
4.504863583734023,5.289726993
4.49283619423257,5.2869069060000005
4.50648519754178,5.242822677
4.531444464591061,5.269892188
4.4511755466904885,5.224483381
4.454521590781528,5.200944816
4.452217949545898,5.259099599
4.5159440039355285,5.608631202
4.5463035373529745,5.224635933
4.597960007341592,5.26028995
4.481918930413228,5.257973674
4.434963409438704,5.137381528
4.404549435470217,5.604912249
4.3491425768182745,5.428178146
4.389200061805208,5.345040546
4.471281858494516,5.249579572
4.7723905959811015,5.208980644
4.696804001061608,5.197329681
4.61518511649096,5.142286172
4.583016922113111,4.828764866
4.561384020983086,4.835094843
4.5640022804949245,4.97408455
4.546935276500323,5.2932553030000005
4.532265527189201,5.307126552
4.517629180117728,5.298581784
4.525983043650616,5.636685144
4.548769777346699,5.32583652
4.471123704987019,5.31325986
4.529599222366058,5.25610234
4.493428707010118,5.279006292
4.49689945015433,5.39333033
4.43865306551783,5.190239742
4.474013075947685,5.216050179
4.491296809018912,5.195486438
4.440445373772773,5.189882748
4.445875857910358,5.270419656
4.380564668642136,5.2668401209999995
4.430097759298609,5.318186067
4.357179650298572,5.287399056
4.380739010477367,5.495797952
4.379492648809761,5.565800888
4.360813268853664,5.381244261
4.469861977448227,5.68483551
4.769232509932676,5.337349407
