Train Loss, time
5.03045902226726,2.2923812630000002
5.780930529650494,1.664511292
4.812455019575904,1.744084
4.71332618213281,1.7186086170000001
4.650588520943007,1.68204608
4.600832578370182,1.857075881
4.616249724705292,1.722851616
4.582284451257904,1.7754497169999999
4.577374249337105,1.615881723
4.559813742331452,1.8380711239999998
4.548572533504225,1.6730806550000001
4.557243633073132,1.52215058
4.5222598912517595,1.747398306
4.529246460374166,1.68490383
4.493676626246673,1.756376424
4.449139111539623,1.771663564
4.479512557776666,1.5853676970000001
4.501448085184746,1.686923095
4.436676417086488,1.760623418
4.514023087919695,1.785118047
4.434259921381615,1.667023052
4.394296310683777,1.727725087
4.423876184184377,1.7556261229999999
4.411565041541055,1.659836666
4.416505796198644,1.608436191
4.400876210694426,1.6928770050000002
4.397509715412014,1.670519074
4.40193804048084,1.657608001
4.438696349905396,1.690995566
4.364757574797241,1.681552344
4.326912554967146,1.678395499
4.257382302629679,1.7047709819999999
4.37450231986102,1.695289048
4.306940149815921,1.6714171759999998
4.35860900703657,1.685350991
4.412832318969266,1.734593332
4.323689470661217,1.751602638
4.3414879636194,1.735812336
4.308254152666059,1.766167159
4.28776856320114,1.66835752
4.234163476008632,1.743697406
4.2793479249719635,1.6192892159999999
4.326725607437506,1.63778657
4.382855335247671,1.758286926
4.365432411108393,1.619295686
4.290259233489646,1.6604026809999999
4.247493045848234,1.6965360619999998
4.27688811720512,1.835051999
4.350469863588159,1.596846115
4.387746256009406,1.714525571
4.379978230225969,1.6394917119999999
4.2159318959637435,1.792802988
4.169813559691106,1.60005456
4.176817160139738,1.7534931870000001
4.218219428297845,1.705824034
4.205559080416903,1.705547023
4.201411380936019,1.6754558419999999
4.1969298584941335,1.681117361
4.2306243957823435,1.682150548
4.305809775779285,1.684627555
4.188700644726558,1.6960667310000002
4.133009198367235,1.756162912
4.089688042603923,1.7451258539999999
4.071155499015355,1.6241065369999999
4.087589372377047,1.543706464
4.423004158371434,1.6421848300000002
4.792965560489298,1.6732108239999999
4.51612538352773,1.6032696400000002
4.2329713392963155,1.587749884
4.271858311291328,1.675658049
4.114351991529797,1.6684148030000001
4.061753185561443,1.689724411
4.018132264400987,1.692716275
4.016374242004646,1.724533216
4.0212759306927754,1.646905177
4.068164160447165,1.704291591
4.211068607499368,1.713503099
4.004149315010689,1.6755608789999998
4.100953609454659,1.702364472
4.161707528965761,1.665264423
4.217567786711982,1.6734708839999999
4.115669580968948,1.660713936
4.042063067648576,1.651469011
4.056992959405536,1.80230022
4.133986746378137,1.7361780119999999
4.1512166625375055,1.681455146
4.12087877265424,1.70478692
4.056802345041235,1.6429398229999999
4.066781367438037,1.738288498
4.146662777009486,1.735075164
4.041995648378289,1.651190444
3.9182868404921587,1.7804669990000002
4.173494757258779,1.755856585
4.046886777147785,1.723490359
4.058764256654981,1.692152321
4.031935421742878,1.566305601
4.061708379844072,1.708560575
4.070078620533984,1.766694923
3.9693571623168515,1.697721372
4.012530293373316,1.7073823639999999
3.9632150661304175,1.629512451
4.109090665881934,1.790168241
4.097696479577466,1.746903547
3.9733545517739417,1.739151032
3.9303978529035986,1.684320929
3.8353779506795,1.704200822
4.000289961197338,1.741103468
3.9719138636671056,1.67769021
4.039392951995358,1.621109473
3.932093272344452,1.515278157
4.0553468582667165,1.706196001
4.067105476301768,1.812712257
4.090909409936055,1.643351016
3.9875704216259367,1.6666437379999999
3.9860723685995745,1.5976848179999998
3.925086553013626,1.644951424
3.987810567335729,1.693224454
3.93103975308106,1.757625529
3.8908222415393983,1.53000374
3.820016086400651,1.660548463
3.9275988360145804,1.754018477
4.02596404999127,1.781037945
4.016500840800213,1.540018026
3.8797297606883276,1.838721567
4.007985235748622,1.789704317
3.9292904240483084,1.6510406629999999
3.976025640437589,1.644333123
3.9234844924730834,1.726947516
4.049236579640173,1.737176032
4.091456384528367,1.632432103
3.802952129886405,1.672007859
3.891647716398761,1.660566202
3.8227724362505704,1.77449536
3.9418896450555336,1.766794307
3.8955674434492225,1.737987665
3.8460557310409174,1.7487236400000001
3.7662166567003985,1.599199722
3.8266279090825233,1.711733846
3.8557778363792496,1.7436475489999999
3.8014443785569973,1.5655542439999999
3.8556736526207764,1.680214682
3.732745295011326,1.738710867
3.809896390150933,1.6674324459999998
3.974968945771533,1.637144946
3.9454203082989348,1.635547085
3.9579788580043944,1.579494167
3.972062483853648,1.729943137
3.8555739286356134,1.7423502210000001
3.7813949584973816,1.6977329650000001
3.908028659347742,1.657473857
